FID1 IID1 FID2 IID2 HetHet IBS0 KINSHIP
0 4978225 0 3820899 0.047 0.0146 0.0627
0 4973847 0 4130565 0.043 0.0155 0.0456
0 4346658 0 4146046 0.045 0.0155 0.0503
0 4526161 0 2504601 0.044 0.015 0.0497
0 4167668 0 4874764 0.071 0.0061 0.2204
0 5632355 0 5714258 0.08 0.0044 0.2642
0 4565601 0 3278827 0.047 0.0134 0.0767
0 4057162 0 5547341 0.046 0.014 0.0623
0 3140205 0 5082620 0.047 0.0141 0.0691
0 1890396 0 2001998 0.048 0.0134 0.0788
0 4253393 0 3815514 0.047 0.0133 0.0756
0 2188303 0 2087187 0.047 0.013 0.0796
0 2929987 0 2869169 0.078 0.0053 0.2483
0 5747538 0 2204120 0.066 1e-04 0.2457
0 2631548 0 5634766 0.045 0.0156 0.0486
0 3973633 0 2386821 0.075 0.005 0.2381
0 4282630 0 2492306 0.044 0.0153 0.0472
0 1345566 0 1294352 0.039 0.0135 0.0548
0 5168006 0 2685340 0.047 0.014 0.0711
0 5891524 0 4650090 0.045 0.0149 0.0564
0 4571610 0 5882828 0.047 0.0134 0.0742
0 3094760 0 2069433 0.046 0.0136 0.0681
0 2370034 0 4523416 0.046 0.0137 0.0703
0 2465448 0 3142564 0.046 0.0141 0.0662
0 1760600 0 4164565 0.054 0.009 0.1322
0 1678846 0 5749031 0.055 0.0082 0.1422
0 2794719 0 1554112 0.046 0.0155 0.054
0 3657112 0 4723621 0.08 0.0044 0.2662
0 1810375 0 4142855 0.044 0.0151 0.0476
0 4172467 0 4910836 0.081 0.0037 0.2709
0 5951181 0 1423922 0.046 0.0146 0.0597
0 1492722 0 4829072 0.048 0.0132 0.0761
0 1952857 0 5972006 0.073 0.0052 0.2358
0 5401958 0 4055587 0.047 0.0141 0.0676
0 2747899 0 3232144 0.046 0.0143 0.0625
0 1794234 0 3831951 0.082 0.0031 0.2825
0 1941514 0 2326741 0.045 0.0152 0.0556
0 4726232 0 5992348 0.08 0.005 0.2612
0 5124728 0 1100884 0.052 0.0096 0.1231
0 5074361 0 2357410 0.075 0.0054 0.2354
0 3596376 0 4189780 0.067 1e-04 0.2481
0 3066500 0 1262611 0.044 0.0148 0.0525
0 5068494 0 2825814 0.045 0.0148 0.0558
0 3649238 0 1440586 0.045 0.0148 0.0557
0 3533025 0 4304440 0.047 0.0135 0.0753
0 1802778 0 1518506 0.048 0.0138 0.0755
0 1663147 0 4956715 0.045 0.0139 0.0638
0 2013890 0 1913916 0.084 0.0039 0.2795
0 4244395 0 3120844 0.048 0.014 0.071
0 1920154 0 3736600 0.045 0.0153 0.0532
0 5244390 0 1042910 0.074 0.0066 0.2301
0 1295413 0 4297133 0.053 0.0095 0.1261
0 5284140 0 5080984 0.082 0.0052 0.2661
0 5854142 0 1526747 0.045 0.0148 0.0565
0 1375033 0 2920997 0.046 0.0145 0.0585
0 3749405 0 3988530 0.045 0.0158 0.0469
0 3982263 0 2037614 0.048 0.0127 0.0825
0 1103981 0 4330147 0.067 1e-04 0.2489
0 4275190 0 3715694 0.047 0.0133 0.0733
0 1000052 0 2307670 0.037 0.0083 0.1027
0 4445558 0 3495746 0.044 0.0152 0.0495
0 3035242 0 2639993 0.078 0.0048 0.2528
0 5738924 0 4345550 0.05 0.0087 0.1251
0 1069735 0 5526261 0.066 1e-04 0.2476
0 1542514 0 3696709 0.046 0.0145 0.0629
0 2278376 0 4434076 0.043 0 0.2493
0 4718326 0 3455174 0.045 0.0161 0.0456
0 4005509 0 5116961 0.043 0.0151 0.0476
0 5717963 0 1997474 0.074 0.0059 0.2284
0 2215728 0 4474182 0.073 0.0056 0.2311
0 3810798 0 2407905 0.08 0.0044 0.2632
0 3576827 0 4704633 0.045 0.0153 0.0452
0 5382473 0 4401505 0.078 0.0043 0.2592
0 4430798 0 4617906 0.047 0.0146 0.0625
0 4849077 0 1776858 0.046 0.015 0.0574
0 3916152 0 1336417 0.045 0.0157 0.0465
0 3266809 0 4119389 0.04 0.0134 0.0484
0 2107268 0 2376410 0.075 0.0051 0.2441
0 3135400 0 1533656 0.041 0.0145 0.0452
0 5032381 0 2654779 0.046 0.0138 0.0627
0 3798244 0 5064985 0.051 0.01 0.1157
0 4407192 0 5200734 0.054 0.0088 0.1346
0 3002122 0 4511393 0.044 0.0151 0.0466
0 2502982 0 2367524 0.044 0.0149 0.0517
0 3897224 0 3689425 0.047 0.0136 0.0715
0 6023939 0 4158226 0.046 0.014 0.0669
0 4306210 0 2771981 0.054 0.0092 0.1345
0 3175458 0 3501643 0.044 0.0142 0.0599
0 1600484 0 3501847 0.077 0.0048 0.2495
0 1630569 0 2605190 0.052 0.0096 0.1231
0 2611246 0 3759844 0.045 0.0158 0.0498
0 1263160 0 4674549 0.047 0.0135 0.0738
0 1226924 0 2634635 0.052 0.0106 0.1145
0 1346824 0 3826092 0.073 0.0052 0.2329
0 4581120 0 3017392 0.046 0.0138 0.0675
0 1752868 0 3430606 0.044 0.0151 0.0491
0 4894535 0 1553535 0.046 0.0148 0.0599
0 1448857 0 3067143 0.075 0.0047 0.2466
0 2179395 0 4756552 0.043 0.0157 0.0448
0 2225478 0 2745768 0.046 0.0159 0.0495
0 4340352 0 2508628 0.066 2e-04 0.2429
0 3664623 0 1459333 0.075 0.0054 0.2378
0 4171842 0 4712257 0.081 0.0038 0.275
0 5394979 0 3704361 0.046 0.0143 0.0632
0 2910470 0 3245330 0.135 0 0.4978
0 1544902 0 4879625 0.045 0.0158 0.049
0 2454952 0 4735280 0.045 0.0155 0.0498
0 1936274 0 3249804 0.044 0.0155 0.0473
